"Mobile cellular subscriptions, total number",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"tablets_sell_2009","tablets_sell_2010","tablets_sell_2011","GDP_2009","GDP_2010","GDP_2011","population2011"
France,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,9055,39234,98332,178400,283200,375000,436700,572000,883000,1302496,2462700,5817300,11210100,21433500,29052360,36997400,38585300,41702000,44544000,48088000,51662000,55358100,57972000,59600000,63200000,66300000,316436,250126,1551570,1410493938384,1436256423650,1471687515757,62444770
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,225451
French Polynesia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,2719,5427,11060,21929,39900,67300,52250,60100,96000,120000,152000,174847,187146,208261,215890,222827,1394,2320,6129,0,0,0,267685
Gabon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,1200,2581,4000,6800,9500,9694,8891,120000,150000,279289,300000,489367,736690,897987,1169000,1300000,1373000,1610000,1800000,6876,27992,24776,5361013681,5523001848,5588238866,1477514
Gambia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,457,812,1442,3096,4734,5048,5307,5600,55085,100000,149300,175000,247478,404345,800371,1166136,1312874,1478347,1581000,4392,14049,47205,921232169,923671345,954571694,1681734
Georgia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2300,30000,60000,133243,194741,301327,503619,711224,840645,1174308,1703888,2599714,2755087,2837000,3980000,4430613,13860,21848,91279,3973376002,4354805817,4763429293,4373630
Germany,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,1080,23800,48747,98763,163619,272609,532251,971890,1774378,2490500,3725000,5512000,8276000,13913000,23446000,48202000,56126000,59128000,64800000,71322000,79271000,85652000,96232925,105523065,105000000,104560000,108700000,737221,573085,2615650,1930126504253,1943341224580,2015244849889,82405365
Ghana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1742,3336,6200,12766,21866,41753,70026,130045,243797,386775,795529,1695000,2874560,5207242,7604053,11570430,15108916,17436949,21165843,51649,94893,565661,6009517143,6364078886,6771379934,23824402
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,29257
Greece,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,153000,273000,532000,937700,2047000,3904000,5932403,7963742,9314260,8936202,9324335,10260396,10979826,12294912,13799340,13295093,12292716,12127985,129707,126819,42411,148273579289,151654726496,160060884679,11326596
